Brand,Model,Year,Price,Color,Mileage,Transmission,Fuel_Type,Date_Sold,Buyer_Name,City,Dealership_ID,Cost,Profit,Customer_Email,Customer_Phone
Honda,Civic,2023,22876.91,Blue,32209.9,Automatic,Petrol,04-06-2022,Laura Taylor,Cartermouth,D0039,18470.86627,4406.043726,vegamatthew@hotmail.com,001-938-989-7462x94656
Nissan,Altima,2007,34198.59,Black,162838.9,Automatic,Diesel,24-07-2022,David Sharp,Patriciashire,D0029,30271.1055,3927.484498,sarah25@gmail.com,(258)206-2627x8552
Honda,Accord,2011,44242.19,Red,147297.7,Automatic,Hybrid,02-07-2024,Debbie Jones,East Angela,D0015,40514.48021,3727.70979,,+1-498-998-2361x6649
Honda,Civic,2021,19813.39,Black,197118.2,Automatic,Petrol,12-03-2023,Michael Juarez,North Veronicastad,D0043,16504.00444,3309.38556,kennethcordova@hotmail.com,619-164-9299
Honda,CR-V,2020,16124.01,Grey,52738.1,Manual,Hybrid,29-04-2021,Jeff Prince,Flowershaven,D0008,14469.01015,1654.999852,danielssydney@rodgers.org,4143465454
Toyota,Corolla,2001,57327.98,White,57209.5,Automatic,Electric,24-09-2023,Kelly Carrillo,Judyview,D0021,44383.13124,12944.84876,kylefletcher@king.biz,+1-727-971-2472x776
Nissan,Rogue,2008,53555.9,White,180075.5,Manual,Electric,06-08-2023,Joseph Mahoney,North Shawnborough,D0039,44737.51418,8818.385824,mjohnson@stephens.com,(592)428-6808x369
Ford,Escape,2013,43766.59,White,79415.8,unknown,Electric,18-04-2022,Alexander Jackson,Cynthiahaven,D0019,34413.99746,9352.592541,rachelmorris@barry.com,+1-288-900-8799x4239
BMW,X5,2010,12250.89,White,35840.8,Automatic,Electric,11-01-2021,Jason Pena,Bettyville,D0023,9844.205494,2406.684506,zscott@yahoo.com,
Nissan,Rogue,2006,14934.55,Blue,110178.9,Automatic,Electric,21-04-2024,Debra Aguilar,East Jason,D0011,13188.75287,1745.797129,fshelton@walters.com,1314420881
Chevrolet,Equinox,2002,10567.47,White,164124.5,Automatic,Diesel,25-06-2025,Lindsey Lang,Elizabethshire,D0011,9726.464458,841.005542,beniteztiffany@gmail.com,308.026.1468x96158
Nissan,Rogue,2022,18074.82,Black,82803.5,Manual,Hybrid,18-06-2023,Jesse Larson,Tanyaland,D0024,13201.37583,4873.444169,qlee@hotmail.com,101-981-6706
Volkswagen,Golf,2000,9614.55,Grey,16480.4,Automatic,Petrol,30-05-2021,Matthew Dickson,East Nicole,D0036,8255.627716,1358.922284,ewilliams@yahoo.com,+11140054743x8310
Volkswagen,Tiguan,2015,20794.82,White,162461.9,Automatic,Petrol,12-09-2020,Jennifer Meyers,Hoffmanview,D0040,17582.76792,3212.052077,walkerricky@hotmail.com,881-038-2940x37605
Honda,Civic,2012,52333.88,Red,53488,Automatic,Hybrid,25-11-2024,Kevin Green,North Brendaville,D0024,38182.99561,14150.88439,,167.978.3788x920
Nissan,Sentra,2001,47389.42,Silver,168025.4,Automatic,Diesel,21-11-2020,Melissa Sanchez,North Edwardhaven,D0003,35682.98136,11706.43864,dennishebert@delgado.biz,14546115500
Hyundai,Sonata,2014,23541.2,Grey,191676.9,Manual,Diesel,24-09-2022,James Rodriguez,Kyleton,D0022,18309.18298,5232.017018,julia02@hotmail.com,360.773.8533
Toyota,RAV4,2015,37685.27,Silver,35699.4,Automatic,Diesel,22-11-2021,Rodney Robinson,Lake Jordanville,D0002,27952.39962,9732.870381,,+1-876-086-6533x3713
Volkswagen,Tiguan,2001,45259.8,White,133187.8,Manual,Electric,01-08-2023,Judith Mitchell,Meghanshire,D0024,34439.64691,10820.15309,dgray@stephens.info,(677)349-3985x52607
Mercedes,C-Class,2000,34788.56,Silver,199238.8,Automatic,Diesel,03-10-2021,Jocelyn Murray,Jefferyfurt,D0044,26679.35361,8109.206388,josephhuynh@price.info,-9099
Kia,Sportage,2022,24663.61,Grey,108143.4,Manual,Petrol,01-11-2022,Ashley Eaton,Johnchester,D0030,19334.25913,5329.350874,,(015)469-3954x992
Volkswagen,Golf,2022,27287.22,Grey,128676.4,Manual,Hybrid,19-03-2023,James Perez,Jenniferchester,D0038,24213.24954,3073.970462,david38@gutierrez-hamilton.com,11736668
Mercedes,C-Class,2020,68686.87,Blue,149540,Manual,Petrol,30-06-2022,Michelle Jones,South Carolyn,D0002,57901.5238,10785.3462,james26@patel.com,476-422-4886x0246
Nissan,Sentra,2013,13283.96,Black,76107,Automatic,Electric,17-09-2023,Tanner Campos,South Aaronville,D0021,12574.08734,709.8726649,coffeymelissa@moses.org,653-588-1192
Volkswagen,Tiguan,2004,65174.65,,173598.1,Automatic,Hybrid,14-01-2024,Jessica Kramer,Sherriport,D0033,52379.82059,12794.82941,kowens@wilson-henson.com,(631)439-4621x008
Chevrolet,Impala,2005,56179.34,Red,79595.6,Automatic,Hybrid,18-09-2020,Jimmy Benton,Lake Latoyahaven,D0012,49913.44857,6265.891426,kathy50@gmail.com,+1-462-039-1385x022
Toyota,RAV4,2006,30900.29,Black,173548.8,Manual,Electric,30-06-2022,Roberta Ortega,Singletonberg,D0022,28362.35974,2537.930263,,(982)619-7254x25618
BMW,X1,2018,67564.73,Black,12460.2,Manual,Electric,17-06-2022,Ryan Cline,Joelmouth,D0044,58764.06064,8800.669361,oliverrobyn@carter-fisher.org,17686000760
BMW,X1,2022,33343.74,Silver,185487.2,Automatic,Electric,08-06-2024,Olivia Davis,East Calvinshire,D0025,26773.8957,6569.844295,jason17@nichols.org,001-495-873-6965
BMW,X5,2009,48348.04,Black,83468.1,Manual,Diesel,03-04-2024,Wayne Glover,Ronniemouth,D0049,42952.33384,5395.706162,harrellkayla@gmail,
Hyundai,Tucson,2000,24751.87,Blue,88828.2,Manual,Hybrid,28-12-2024,Juan Briggs,East Leslieburgh,D0027,18586.59463,6165.275371,hallangela@hotmail.com,(269)987-4886x78657
Honda,Accord,2016,48150.5,Silver,70361.7,Automatic,Electric,12-06-2025,Ryan French,Lake Saraborough,D0042,37648.30013,10502.19987,nicole28@davis-gray.com,349.535.2363x06023
Honda,Accord,2013,62598.9,Silver,42914.9,Manual,Hybrid,08-04-2025,Abigail Morris,Jefferyton,D0028,52374.7039,10224.1961,kelly74@hotmail.com,-7167
Hyundai,Elantra,2005,57267.14,Grey,106001.8,Automatic,Diesel,22-03-2023,Vincent Friedman,New Kimberlybury,D0016,48325.01048,8942.129515,nina36@hotmail.com,351-599-0074x8825
Mercedes,E-Class,2019,57975.42,Silver,88214.4,Manual,Diesel,08-06-2025,Joshua White,Port Susanfurt,D0015,40903.70933,17071.71067,dawn57@gmail,373-974-9702
Nissan,Altima,2020,20550.98,White,20109.3,Manual,Diesel,21-12-2023,Paul Snyder,Chenside,D0047,19241.4417,1309.538302,nicolesanders@smith-adams.com,834.337.3160x8640
Chevrolet,Malibu,2013,31493.96,Silver,95855.2,Automatic,Diesel,28-10-2021,Benjamin Edwards,Lucasland,D0044,27530.65985,3963.300146,zacharybutler@hotmail.com,(228)4647017x8717
Volkswagen,Passat,2015,5383.25,Black,63229.5,Manual,Hybrid,23-03-2025,Steven Stephens,North Reneestad,D0003,4435.399303,947.8506966,ghowell@rice.org,+1-412-678-4673x6034
Kia,Rio,2012,26848.42,Grey,160637.8,Automatic,Hybrid,27-03-2025,Jorge Lee,Brownmouth,D0037,25057.14198,1791.278024,parkerhannah@hinton.com,+1-263-725-4127x7363
Honda,CR-V,2013,13820.47,White,40437.2,Manual,Hybrid,25-06-2023,Wesley Sandoval,West Mandymouth,D0007,11191.45577,2629.014228,steven94@gmail,9136206104
Hyundai,Sonata,2002,35569.94,Grey,110186.7,Manual,Diesel,30-10-2022,Danielle Hernandez,Amberville,D0021,33617.4666,1952.473398,scottwood@gmail,838-292-1438
Toyota,RAV4,2004,20505.42,White,135544.5,Automatic,Hybrid,07-02-2024,Victoria Middleton,Port Anthony,D0009,16979.94753,3525.472473,danielhays@pham-sutton.com,527-488-8038
Ford,Fusion,2003,42614.51,Black,117280.4,Manual,Hybrid,05-12-2023,Tracy Lewis,Jillhaven,D0039,31047.71502,11566.79498,fordmark@moore-thompson.net,
BMW,X5,2019,57359.32,Silver,157613.9,Manual,Hybrid,28-07-2023,Natasha Friedman,Sherryville,D0018,51118.63993,6240.680071,,(939)405-8662x7479
Hyundai,Sonata,2020,62952.38,White,142925.2,Manual,Diesel,16-09-2021,Melissa Mccarthy,Lake Jacob,D0004,54751.22289,8201.157107,belllori@gmail.com,-9095
Hyundai,Tucson,2018,22445.71,Blue,166992.5,Automatic,Electric,17-03-2021,Mark Shah,South Jessicamouth,D0025,20049.55595,2396.154055,nwilliams@gmail.com,(701)523-3778x79939
Mercedes,C-Class,2015,18787.79,Black,71366.1,Manual,Petrol,13-10-2024,Linda Flores,Ryanmouth,D0014,17620.32626,1167.463742,donna66@gmail.com,271-854-6282x72452
Kia,Sportage,2022,36903.39,Red,23145.4,Automatic,Hybrid,27-05-2021,Andrew Houston,North Sarah,D0050,32996.14489,3907.245108,michaelbutler@gmail.com,533.350.6945
Nissan,Altima,2011,50685.57,Black,64791.5,Automatic,Petrol,15-12-2023,Scott Jimenez,Amberville,D0009,43226.38504,7459.184964,bellashley@hess.com,6196698923x077
Kia,Optima,2023,43323.15,Silver,121374.2,Automatic,Diesel,18-02-2022,Melissa Moore,Shelleyville,D0026,39611.53554,3711.614457,,
Toyota,RAV4,2009,50332.13,Blue,129384.6,Manual,Petrol,30-12-2022,Rachel Callahan,Dominiquestad,D0002,43703.97283,6628.157173,debra39@yahoo.com,001-860-091-0089
Kia,Rio,2002,31045.98,Red,117519.1,Automatic,Diesel,03-02-2023,John Rodriguez,Gonzalezburgh,D0020,24899.80002,6146.179981,johnsonkaren@hotmail.com,(091)959-7700
Volkswagen,Tiguan,2019,19669.66,Silver,79173.7,Manual,Electric,12-12-2020,Spencer Brown,Michaelberg,D0028,18123.72191,1545.938087,sabrina53@english-ferguson.biz,428.849.9672x45995
Chevrolet,Equinox,2006,22202,Red,35626.1,Automatic,Petrol,19-05-2025,Taylor Rodriguez MD,Jaclynmouth,D0047,16773.05851,5428.941492,cwilkinson@gmail,096-924-7039
BMW,X5,2014,9626.68,Blue,185162.7,Automatic,Hybrid,26-12-2024,Darren Horton,Lake Vanessaview,D0007,8458.581717,1168.098283,nhernandez@hotmail.com,(046)143-8166x3848
BMW,X5,2023,58575.62,Black,90634.9,Manual,Electric,25-05-2022,Christie Livingston,Lake Jamesville,D0044,53912.46549,4663.154514,natalie42@hotmail.com,+1-491-225-5359x798
Hyundai,Tucson,2010,44241.39,Red,22808.7,Automatic,Electric,20-08-2023,Steve Buchanan,New Michael,D0008,39057.58784,5183.80216,vpearson@hotmail.com,408.811.7576x899
Volkswagen,Passat,2020,57925.92,Red,96652,Manual,Electric,17-10-2024,Rebecca Young,North Kevin,D0047,50645.72404,7280.195964,andrewhanson@yahoo.com,5039885363
